date_bin,TEMP,HUM,CO2,PM1,PM2.5,PM5,PM10,HCHO,VOC,NO2,NOISE,DOOR1,WINDOW1,WINDOW2,VENT. TYPE,VENT. TIME,EXT. TEMP,EXT. HUM,EXT. PM2.5,EXT. PM10,EXT. NO2,EXT. CO
2024-07-22 11:20:00,24.5,50.2,414,2.18,2.31,2.31,2.31,0,777,24.5,29,0,0,0,no ventilation,65,30.6,37,5,19,5,0.2
2024-07-22 11:25:00,25.7,46.9,415,2.15,2.27,2.28,2.28,0,695,20.1,28,0,0,0,no ventilation,70,30.6,37,5,19,5,0.2
2024-07-22 11:30:00,26.3,44.2,409,2.03,2.15,2.15,2.15,0,642,18,29,0,0,0,no ventilation,75,30.7,36,5,19,5,0.2
2024-07-22 11:35:00,26.7,42.7,406,2.07,2.18,2.18,2.18,0,596,16,29,0,0,0,no ventilation,80,30.7,36,5,19,5,0.2
2024-07-22 11:40:00,27.1,42.5,405,2.08,2.2,2.2,2.2,0,563,21.7,25,0,0,0,no ventilation,85,30.7,36,5,19,5,0.2
2024-07-22 11:45:00,27.3,41.1,409,2.09,2.2,2.2,2.2,0,530,25.7,27,0,0,0,no ventilation,90,30.7,36,5,19,5,0.2
2024-07-22 11:50:00,27.6,40.7,406,2.08,2.2,2.2,2.2,0,507,29.8,27,0,0,0,no ventilation,95,30.7,36,5,19,5,0.2
2024-07-22 11:55:00,27.8,40.1,416,2.1,2.22,2.22,2.22,0,488,29.5,35,0,0,0,no ventilation,100,30.7,36,5,19,5,0.2
2024-07-22 12:00:00,27.9,39.7,418,2.08,2.2,2.2,2.2,0,472,33.4,37,0,0,0,no ventilation,105,30.6,37,7,28,9,0.3
2024-07-22 12:05:00,28,39.7,414,2.03,2.15,2.15,2.15,0,464,40.1,38,0,0,0,no ventilation,110,30.6,37,7,28,9,0.3
2024-07-22 12:10:00,28.1,39.3,412,2.16,2.28,2.28,2.28,0,451,39.2,41,0,0,0,no ventilation,115,30.6,37,7,28,9,0.3
2024-07-22 12:15:00,28.3,38.9,412,1.98,2.1,2.1,2.1,0,441,44,22,0,0,0,no ventilation,120,30.6,37,7,28,9,0.3
2024-07-22 12:20:00,28.5,38.9,412,1.75,1.85,1.85,1.85,0,435,39.9,25,0,0,0,no ventilation,125,30.6,37,7,28,9,0.3
2024-07-22 12:25:00,28.6,39.1,419,1.87,1.97,1.97,1.97,0,441,45.4,25,0,0,0,no ventilation,130,30.6,37,7,28,9,0.3
2024-07-22 12:30:00,28.8,38.4,417,2.06,2.17,2.17,2.17,0,432,39.7,27,0,0,0,no ventilation,135,30.9,36,7,28,9,0.3
2024-07-22 12:35:00,29,38,420,2.05,2.17,2.17,2.17,0,429,44.3,27,0,0,0,no ventilation,140,30.9,36,7,28,9,0.3
2024-07-22 12:40:00,29.1,37.9,419,2,2.11,2.11,2.11,0,428,47.4,28,0,0,0,no ventilation,145,30.9,36,7,28,9,0.3
2024-07-22 12:45:00,29.1,38,417,2.24,2.38,2.38,2.38,0,430,48.3,26,0,0,0,no ventilation,150,30.9,36,7,28,9,0.3
2024-07-22 12:50:00,29.1,38.4,423,2.3,2.43,2.43,2.43,0,428,48.1,25,0,0,0,no ventilation,155,30.9,36,7,28,9,0.3
2024-07-22 12:55:00,29.1,39,424,2.26,2.39,2.39,2.39,0,426,55.1,26,0,0,0,no ventilation,160,30.9,36,7,28,9,0.3
2024-07-22 13:00:00,29.1,39.7,422,2.07,2.19,2.19,2.19,0,430,63,27,0,0,0,no ventilation,165,31,37,7,27,13,0.2
2024-07-22 13:05:00,29.2,39.5,428,2.13,2.26,2.26,2.26,0,430,53.9,28,0,0,0,no ventilation,170,31,37,7,27,13,0.2
2024-07-22 13:10:00,29.3,39.7,421,2.19,2.32,2.32,2.32,0,420,51.8,28,0,0,0,no ventilation,175,31,37,7,27,13,0.2
2024-07-22 13:15:00,29.3,40.2,412,2.06,2.18,2.18,2.18,0,421,59.9,30,0,0,0,no ventilation,180,31,37,7,27,13,0.2
2024-07-22 13:20:00,29.3,40.8,408,1.96,2.07,2.07,2.07,0,421,60.9,28,0,0,0,no ventilation,185,31,37,7,27,13,0.2
2024-07-22 13:25:00,29.3,41.2,410,1.85,1.96,1.96,1.96,0,423,59.2,33,0,0,0,no ventilation,190,31,37,7,27,13,0.2
2024-07-22 13:30:00,29.3,40.7,412,1.85,1.96,1.96,1.96,0,418,58.7,29,0,0,0,no ventilation,195,30.3,38,7,27,13,0.2
2024-07-22 13:35:00,29.4,40.5,411,1.74,1.85,1.85,1.85,0,415,53.8,30,0,0,0,no ventilation,200,30.3,38,7,27,13,0.2
2024-07-22 13:40:00,29.3,40.4,415,1.65,1.74,1.74,1.74,0,410,54.6,27,0,0,0,no ventilation,205,30.3,38,7,27,13,0.2
2024-07-22 13:45:00,29.3,40.7,410,1.99,2.11,2.11,2.11,0,405,55.5,32,0,0,0,no ventilation,210,30.3,38,7,27,13,0.2
2024-07-22 13:50:00,29.4,40.4,416,1.79,1.9,1.9,1.9,0,405,58.3,30,0,0,0,no ventilation,215,30.3,38,7,27,13,0.2
2024-07-22 13:55:00,29.3,40.5,420,1.84,1.94,1.94,1.94,0,406,54,32,0,0,0,no ventilation,220,30.3,38,7,27,13,0.2
2024-07-22 14:00:00,29.3,40.8,428,2.22,2.35,2.35,2.35,0,418,57,30,0,0,0,no ventilation,225,30.5,39,6,20,9,0.2
2024-07-22 14:05:00,29.3,39.8,421,1.83,1.93,1.93,1.93,0,403,50,28,0,0,0,no ventilation,230,30.5,39,6,20,9,0.2
2024-07-22 14:10:00,29.3,40,411,1.81,1.91,1.91,1.91,0,397,56.6,29,0,0,0,no ventilation,235,30.5,39,6,20,9,0.2
2024-07-22 14:15:00,29.3,40.2,424,2.95,3.12,3.12,3.12,0,423,59.8,31,0,0,0,no ventilation,240,30.5,39,6,20,9,0.2
2024-07-22 14:20:00,29.2,40.5,435,3.02,3.23,3.27,3.28,0,918,57.5,33,0,0,0,no ventilation,245,30.5,39,6,20,9,0.2
2024-07-22 14:25:00,29.1,40.4,424,2.31,2.46,2.47,2.48,0,766,58.2,28,0,0,0,no ventilation,250,30.5,39,6,20,9,0.2
2024-07-22 14:30:00,29,40.5,427,2.32,2.46,2.47,2.47,0,595,59,36,0,0,0,no ventilation,255,30.3,38,6,20,9,0.2
2024-07-22 14:35:00,29,40.7,419,1.98,2.11,2.12,2.13,0,511,59.9,30,0,0,0,no ventilation,260,30.3,38,6,20,9,0.2
2024-07-22 14:40:00,29,40.9,425,2.08,2.2,2.2,2.2,0,462,62.3,28,0,0,0,no ventilation,265,30.3,38,6,20,9,0.2
2024-07-22 14:45:00,29.1,41.2,423,1.96,2.07,2.07,2.07,0,438,57.3,37,0,0,0,no ventilation,270,30.3,38,6,20,9,0.2
2024-07-22 14:50:00,29.1,41.3,417,4.42,4.8,4.9,4.95,0,428,59.9,43,0,0,0,no ventilation,275,30.3,38,6,20,9,0.2
2024-07-22 14:55:00,29.1,41.3,414,6.33,7.02,7.3,7.43,0,418,56.8,35,0,0,0,no ventilation,280,30.3,38,6,20,9,0.2
2024-07-22 15:00:00,29.2,41.5,415,2.65,2.87,2.92,2.95,0,412,60.7,28,0,0,0,no ventilation,285,29.8,38,6,21,9,0.2
2024-07-22 15:05:00,29.2,41.1,417,2.15,2.28,2.28,2.28,0,402,54.9,28,0,0,0,no ventilation,290,29.8,38,6,21,9,0.2
2024-07-22 15:10:00,29.3,40.1,405,1.79,1.89,1.89,1.89,0,396,52.7,33,0,0,0,no ventilation,295,29.8,38,6,21,9,0.2
2024-07-22 15:15:00,29.2,40,406,1.86,1.96,1.96,1.96,0,388,47,28,0,0,0,no ventilation,300,29.8,38,6,21,9,0.2
2024-07-22 15:20:00,29.3,40.5,409,1.94,2.05,2.05,2.05,0,391,53.7,30,0,0,0,no ventilation,305,29.8,38,6,21,9,0.2
2024-07-22 15:25:00,29.3,41.5,424,1.78,1.89,1.89,1.89,0,407,64.6,31,0,0,0,no ventilation,310,29.8,38,6,21,9,0.2
2024-07-22 15:30:00,29.1,41.8,417,1.97,2.08,2.08,2.08,0,402,62.6,27,0,0,0,no ventilation,315,29.8,38,6,21,9,0.2
2024-07-22 15:35:00,29.1,41.1,424,1.91,2.03,2.03,2.03,0,390,57.7,37,0,0,0,no ventilation,320,29.8,38,6,21,9,0.2
2024-07-22 15:40:00,28.9,41.1,423,2.03,2.15,2.15,2.15,0,379,51,28,0,0,0,no ventilation,325,29.8,38,6,21,9,0.2
2024-07-22 15:45:00,28.8,41.8,418,2.05,2.17,2.17,2.17,0,375,63,29,0,0,0,no ventilation,330,29.8,38,6,21,9,0.2
2024-07-22 15:50:00,28.9,41.2,420,2,2.11,2.11,2.11,0,374,53,30,0,0,0,no ventilation,335,29.8,38,6,21,9,0.2
2024-07-22 15:55:00,29,41.2,421,1.85,1.96,1.96,1.96,0,372,55.4,32,0,0,0,no ventilation,340,29.8,38,6,21,9,0.2
2024-07-22 16:00:00,29,41.5,408,2,2.11,2.11,2.11,0,371,61.6,34,0,0,0,no ventilation,345,29.9,37,6,25,7,0.2
2024-07-22 16:05:00,28.8,41.6,413,4.07,4.3,4.3,4.3,0,365,64,32,0,0,0,no ventilation,350,29.9,37,6,25,7,0.2
2024-07-22 16:10:00,28.9,42,414,2.15,2.27,2.27,2.27,0,368,57.6,28,0,0,0,no ventilation,355,29.9,37,6,25,7,0.2
2024-07-22 16:15:00,29,41.8,414,2.03,2.15,2.15,2.15,0,368,53,38,0,0,0,no ventilation,360,29.9,37,6,25,7,0.2
2024-07-22 16:20:00,29,41.2,421,1.96,2.08,2.08,2.08,0,368,56.3,25,0,0,0,no ventilation,365,29.9,37,6,25,7,0.2
2024-07-22 16:25:00,29,40.8,417,1.86,1.97,1.97,1.97,0,366,51.6,24,0,0,0,no ventilation,370,29.9,37,6,25,7,0.2
2024-07-22 16:30:00,29.1,40.5,409,1.78,1.88,1.88,1.88,0,364,51.7,25,0,0,0,no ventilation,375,29.3,37,6,25,7,0.2
2024-07-22 16:35:00,29.2,40,406,1.82,1.92,1.93,1.93,0,365,52.9,24,0,0,0,no ventilation,380,29.3,37,6,25,7,0.2
2024-07-22 16:40:00,29.2,40,407,1.82,1.92,1.92,1.92,0,364,48.6,25,0,0,0,no ventilation,385,29.3,37,6,25,7,0.2
2024-07-22 16:45:00,29.3,40.4,413,1.79,1.89,1.89,1.89,0,366,54.2,26,0,0,0,no ventilation,390,29.3,37,6,25,7,0.2
2024-07-22 16:50:00,29.4,41.5,459,2.19,2.31,2.31,2.31,0,375,61,29,0,0,0,no ventilation,395,29.3,37,6,25,7,0.2
2024-07-22 16:55:00,29.3,41.1,442,1.85,1.96,1.96,1.96,0,374,56.3,35,0,0,0,no ventilation,400,29.3,37,6,25,7,0.2
2024-07-22 17:00:00,29.2,40.7,418,1.77,1.87,1.87,1.87,0,366,55.9,41,0,0,0,no ventilation,405,28.5,38,6,21,7,0.2
2024-07-22 17:05:00,29.3,40.5,418,1.9,2.01,2.01,2.01,0,367,55.1,34,0,0,0,no ventilation,410,28.5,38,6,21,7,0.2
2024-07-22 17:10:00,29.4,39.8,409,1.72,1.82,1.82,1.82,0,362,52.4,43,0,0,0,no ventilation,415,28.5,38,6,21,7,0.2
2024-07-22 17:15:00,29.3,39.3,413,1.69,1.78,1.78,1.78,0,356,50.4,45,0,0,0,no ventilation,420,28.5,38,6,21,7,0.2
2024-07-22 17:20:00,29.3,39.3,409,1.65,1.75,1.74,1.74,0,358,53,34,0,0,0,no ventilation,425,28.5,38,6,21,7,0.2
2024-07-22 17:25:00,29.3,39,411,1.57,1.66,1.66,1.66,0,353,52,28,0,0,0,no ventilation,430,28.5,38,6,21,7,0.2
2024-07-22 17:30:00,29.3,38.7,411,1.48,1.57,1.57,1.57,0,352,51.3,32,0,0,0,no ventilation,435,27.7,40,6,21,7,0.2
2024-07-22 17:35:00,29.3,38.2,417,1.44,1.52,1.52,1.52,0,350,50.8,33,0,0,0,no ventilation,440,27.7,40,6,21,7,0.2
2024-07-22 17:40:00,29.2,37.3,418,1.31,1.39,1.39,1.39,0,342,40.4,31,0,0,0,no ventilation,445,27.7,40,6,21,7,0.2
2024-07-22 17:45:00,29.3,37.5,413,1.35,1.42,1.42,1.42,0,349,49.1,33,0,0,0,no ventilation,450,27.7,40,6,21,7,0.2
2024-07-22 17:50:00,29.4,37.3,409,1.22,1.3,1.3,1.3,0,351,45.6,35,0,0,0,no ventilation,455,27.7,40,6,21,7,0.2
2024-07-22 17:55:00,29.5,37.3,414,1.29,1.36,1.36,1.36,0,351,48.5,35,0,0,0,no ventilation,460,27.7,40,6,21,7,0.2
2024-07-22 18:00:00,29.6,37.2,409,1.3,1.38,1.38,1.38,0,357,48.6,35,0,0,0,no ventilation,465,26.8,45,5,18,8,0.2
2024-07-22 18:05:00,29.6,37.1,409,1.35,1.42,1.42,1.42,0,358,45.3,32,0,0,0,no ventilation,470,26.8,45,5,18,8,0.2
2024-07-22 18:10:00,29.5,36.9,410,1.36,1.44,1.44,1.44,0,355,47,36,0,0,0,no ventilation,475,26.8,45,5,18,8,0.2
2024-07-22 18:15:00,29.5,36.9,415,1.38,1.46,1.46,1.46,0,355,49,38,0,0,0,no ventilation,480,26.8,45,5,18,8,0.2
2024-07-22 18:20:00,29.5,36.6,419,1.32,1.39,1.39,1.39,0,350,51.2,29,0,0,0,no ventilation,485,26.8,45,5,18,8,0.2
2024-07-22 18:25:00,29.4,36.5,409,1.37,1.45,1.45,1.45,0,347,52.7,25,0,0,0,no ventilation,490,26.8,45,5,18,8,0.2
2024-07-22 18:30:00,29.3,36.8,415,1.31,1.39,1.38,1.38,0,348,52.6,27,0,0,0,no ventilation,495,26.2,52,5,18,8,0.2
2024-07-22 18:35:00,29.4,36.9,410,1.36,1.44,1.44,1.44,0,353,51,28,0,0,0,no ventilation,500,26.2,52,5,18,8,0.2
2024-07-22 18:40:00,29.3,37.2,407,1.48,1.57,1.57,1.57,0,356,59.6,25,0,0,0,no ventilation,505,26.2,52,5,18,8,0.2
2024-07-22 18:45:00,29.3,37.3,411,1.38,1.46,1.46,1.46,0,356,53.9,25,0,0,0,no ventilation,510,26.2,52,5,18,8,0.2
2024-07-22 18:50:00,29.4,37.7,409,1.4,1.48,1.48,1.48,0,360,56.1,26,0,0,0,no ventilation,515,26.2,52,5,18,8,0.2
2024-07-22 18:55:00,29.4,37.9,411,1.4,1.48,1.48,1.48,0,362,53.4,26,0,0,0,no ventilation,520,26.2,52,5,18,8,0.2
2024-07-22 19:00:00,29.3,38.3,422,1.5,1.59,1.59,1.59,0,364,57.4,26,0,0,0,no ventilation,525,25.2,61,5,14,9,0.2
2024-07-22 19:05:00,29.2,38.9,412,1.57,1.66,1.66,1.66,0,366,62.4,26,0,0,0,no ventilation,530,25.2,61,5,14,9,0.2
2024-07-22 19:10:00,29.2,38.9,410,1.63,1.72,1.72,1.72,0,367,64.3,26,0,0,0,no ventilation,535,25.2,61,5,14,9,0.2
2024-07-22 19:15:00,29.2,39.1,412,1.63,1.72,1.72,1.72,0,368,58,29,0,0,0,no ventilation,540,25.2,61,5,14,9,0.2
2024-07-22 19:20:00,29.3,39.5,416,1.54,1.63,1.63,1.63,0,384,64.1,27,0,0,0,no ventilation,545,25.2,61,5,14,9,0.2
2024-07-22 19:25:00,29.4,40.5,418,1.66,1.75,1.75,1.75,0,418,65.4,24,0,0,0,no ventilation,550,25.2,61,5,14,9,0.2
2024-07-22 19:30:00,29.5,40.7,420,1.58,1.67,1.67,1.67,0,439,56.1,23,0,0,0,no ventilation,555,24.7,67,5,14,9,0.2
2024-07-22 19:35:00,29.6,40.7,417,1.74,1.84,1.84,1.84,0,447,49.2,24,0,0,0,no ventilation,560,24.7,67,5,14,9,0.2
2024-07-22 19:40:00,29.7,40.7,418,1.69,1.79,1.79,1.79,0,450,49.3,23,0,0,0,no ventilation,565,24.7,67,5,14,9,0.2
2024-07-22 19:45:00,29.8,40.5,417,1.7,1.8,1.8,1.8,0,450,54.1,27,0,0,0,no ventilation,570,24.7,67,5,14,9,0.2
2024-07-22 19:50:00,29.7,40.9,421,1.63,1.72,1.72,1.72,0,412,59.1,26,0,0,0,no ventilation,575,24.7,67,5,14,9,0.2
2024-07-22 19:55:00,29.7,41.8,420,1.68,1.78,1.78,1.78,0,402,75.9,27,0,0,0,no ventilation,580,24.7,67,5,14,9,0.2
2024-07-22 20:00:00,29.4,43,416,1.76,1.86,1.86,1.86,0,397,74.1,27,0,0,0,no ventilation,585,24.3,69,5,16,13,0.2
2024-07-22 20:05:00,29.4,43.6,405,1.84,1.95,1.95,1.95,0,390,75.3,28,0,0,0,no ventilation,590,24.3,69,5,16,13,0.2
2024-07-22 20:10:00,29.3,43.6,410,2.07,2.18,2.18,2.18,0,383,71,27,0,0,0,no ventilation,595,24.3,69,5,16,13,0.2
2024-07-22 20:15:00,29.3,43.8,410,1.98,2.09,2.09,2.09,0,385,72.9,29,0,0,0,no ventilation,600,24.3,69,5,16,13,0.2
2024-07-22 20:20:00,29.3,44,407,2.05,2.16,2.16,2.16,0,379,61.6,27,0,0,0,no ventilation,605,24.3,69,5,16,13,0.2
2024-07-22 20:25:00,29.2,44.4,406,2.09,2.21,2.21,2.21,0,374,72.7,30,0,0,0,no ventilation,610,24.3,69,5,16,13,0.2
2024-07-22 20:30:00,29.2,44.7,409,2.22,2.35,2.35,2.35,0,377,67.9,26,0,0,0,no ventilation,615,23.7,72,5,16,13,0.2
2024-07-22 20:35:00,29.2,45.4,412,2.01,2.12,2.12,2.12,0,379,74.9,28,0,0,0,no ventilation,620,23.7,72,5,16,13,0.2
2024-07-22 20:40:00,29.1,46.2,411,2.08,2.2,2.2,2.2,0,378,77,28,0,0,0,no ventilation,625,23.7,72,5,16,13,0.2
2024-07-22 20:45:00,29,47.4,414,2.3,2.43,2.43,2.43,0,376,79.5,26,0,0,0,no ventilation,630,23.7,72,5,16,13,0.2
2024-07-22 20:50:00,28.7,48.5,415,2.35,2.48,2.48,2.48,0,371,90.4,28,0,0,0,no ventilation,635,23.7,72,5,16,13,0.2
2024-07-22 20:55:00,28.5,49.5,421,2.18,2.31,2.31,2.31,0,369,84.2,27,0,0,0,no ventilation,640,23.7,72,5,16,13,0.2
2024-07-22 21:00:00,28.5,49.9,417,2.12,2.24,2.24,2.24,0,370,80.8,28,0,0,0,no ventilation,645,23.6,73,6,19,12,0.1
2024-07-22 21:05:00,28.5,50.2,414,2.17,2.3,2.3,2.3,0,370,74,27,0,0,0,no ventilation,650,23.6,73,6,19,12,0.1
2024-07-22 21:10:00,28.5,50.1,415,2.04,2.16,2.16,2.16,0,373,66.6,28,0,0,0,no ventilation,655,23.6,73,6,19,12,0.1
2024-07-22 21:15:00,28.5,49.9,411,2.01,2.13,2.13,2.13,0,377,60.2,27,0,0,0,no ventilation,660,23.6,73,6,19,12,0.1
2024-07-22 21:20:00,28.7,49.8,411,2.23,2.36,2.36,2.36,0,374,57,28,0,0,0,no ventilation,665,23.6,73,6,19,12,0.1
2024-07-22 21:25:00,28.7,50.2,416,2.22,2.35,2.35,2.35,0,370,59,29,0,0,0,no ventilation,670,23.6,73,6,19,12,0.1
2024-07-22 21:30:00,28.6,50.6,417,2.7,2.85,2.85,2.85,0,369,66.3,27,0,0,0,no ventilation,675,23.3,73,6,19,12,0.1
2024-07-22 21:35:00,28.6,51,429,2.26,2.39,2.39,2.39,0,367,62,26,0,0,0,no ventilation,680,23.3,73,6,19,12,0.1
2024-07-22 21:40:00,28.4,51.4,409,2.28,2.41,2.41,2.41,0,357,70.4,28,0,0,0,no ventilation,685,23.3,73,6,19,12,0.1
2024-07-22 21:45:00,28.3,51.9,422,2.11,2.23,2.23,2.23,0,358,67.6,26,0,0,0,no ventilation,690,23.3,73,6,19,12,0.1
2024-07-22 21:50:00,28.3,52.1,417,2.29,2.42,2.42,2.42,0,349,71.1,26,0,0,0,no ventilation,695,23.3,73,6,19,12,0.1
2024-07-22 21:55:00,27.9,53.5,411,2.43,2.57,2.57,2.57,0,348,80.9,26,0,0,0,no ventilation,700,23.3,73,6,19,12,0.1
2024-07-22 22:00:00,27.7,54.2,416,2.39,2.53,2.53,2.53,0,343,80.1,27,0,0,0,no ventilation,705,23.2,71,7,20,14,0.1
2024-07-22 22:05:00,27.8,53.7,418,2.07,2.19,2.19,2.19,0,341,69,27,0,0,0,no ventilation,710,23.2,71,7,20,14,0.1
2024-07-22 22:10:00,28,53,419,2.14,2.26,2.26,2.26,0,341,66.8,27,0,0,0,no ventilation,715,23.2,71,7,20,14,0.1
2024-07-22 22:15:00,28.1,52.5,418,1.94,2.05,2.05,2.05,0,338,65.6,26,0,0,0,no ventilation,720,23.2,71,7,20,14,0.1
2024-07-22 22:20:00,28.2,52.3,419,2.11,2.23,2.23,2.23,0,333,63.1,28,0,0,0,no ventilation,725,23.2,71,7,20,14,0.1
2024-07-22 22:25:00,28.2,52.4,416,2.14,2.27,2.27,2.27,0,330,62.9,26,0,0,0,no ventilation,730,23.2,71,7,20,14,0.1
2024-07-22 22:30:00,28.2,52.4,413,2.13,2.26,2.26,2.26,0,329,61.6,25,0,0,0,no ventilation,735,23.1,69,7,20,14,0.1
2024-07-22 22:35:00,28.2,52.5,419,2.29,2.42,2.42,2.42,0,328,62.3,24,0,0,0,no ventilation,740,23.1,69,7,20,14,0.1
2024-07-22 22:40:00,28.2,52.3,411,2.19,2.32,2.32,2.32,0,327,64.3,26,0,0,0,no ventilation,745,23.1,69,7,20,14,0.1
2024-07-22 22:45:00,28.1,51.9,422,2.16,2.28,2.28,2.28,0,323,61.4,28,0,0,0,no ventilation,750,23.1,69,7,20,14,0.1
2024-07-22 22:50:00,28.1,51.9,434,2.31,2.45,2.45,2.45,0,329,63,23,0,0,0,no ventilation,755,23.1,69,7,20,14,0.1
2024-07-22 22:55:00,28.2,51.7,436,2.37,2.51,2.51,2.51,0,337,60.7,24,0,0,0,no ventilation,760,23.1,69,7,20,14,0.1
2024-07-22 23:00:00,28.3,51.2,425,2.36,2.49,2.49,2.49,0,338,56.2,23,0,0,0,no ventilation,765,23,69,7,17,27,0.2
2024-07-22 23:05:00,28.4,50.9,430,2.3,2.44,2.44,2.44,0,343,52.8,22,0,0,0,no ventilation,770,23,69,7,17,27,0.2
2024-07-22 23:10:00,28.5,50.5,440,2.38,2.51,2.51,2.51,0,359,53.2,23,0,0,0,no ventilation,775,23,69,7,17,27,0.2
2024-07-22 23:15:00,28.6,50.1,447,2.4,2.54,2.54,2.54,0,379,51.1,26,0,0,0,no ventilation,780,23,69,7,17,27,0.2
2024-07-22 23:20:00,28.8,49.8,451,2.8,2.96,2.96,2.96,0,399,55.5,25,0,0,0,no ventilation,785,23,69,7,17,27,0.2
2024-07-22 23:25:00,28.8,48.3,448,2.2,2.33,2.33,2.33,0,392,47.5,23,0,0,0,no ventilation,790,23,69,7,17,27,0.2
2024-07-22 23:30:00,28.7,47.7,450,1.94,2.06,2.06,2.06,0,377,45.9,23,0,0,0,no ventilation,795,22.9,71,7,17,27,0.2
2024-07-22 23:35:00,28.6,47.3,455,2.05,2.17,2.17,2.17,0,362,50,22,0,0,0,no ventilation,800,22.9,71,7,17,27,0.2
2024-07-22 23:40:00,28.6,46.7,438,1.75,1.86,1.86,1.86,0,340,48.6,24,0,0,0,no ventilation,805,22.9,71,7,17,27,0.2
2024-07-22 23:45:00,28.6,46,423,1.71,1.81,1.81,1.81,0,332,50.1,22,0,0,0,no ventilation,810,22.9,71,7,17,27,0.2
2024-07-22 23:50:00,28.6,45.5,421,1.68,1.78,1.78,1.78,0,323,50.3,23,0,0,0,no ventilation,815,22.9,71,7,17,27,0.2
2024-07-22 23:55:00,28.5,45.5,421,2.35,2.49,2.49,2.49,0,331,55.1,23,0,0,0,no ventilation,820,22.9,71,7,17,27,0.2
2024-07-23 00:00:00,28.5,45.6,437,2.03,2.15,2.15,2.15,0,338,57.1,24,0,0,0,no ventilation,825,22.8,74,7,18,29,0.3
2024-07-23 00:05:00,28.5,45.2,442,2.1,2.22,2.22,2.22,0,324,55.3,23,0,0,0,no ventilation,830,22.8,74,7,18,29,0.3
2024-07-23 00:10:00,28.5,44.8,443,1.92,2.03,2.03,2.03,0,326,53.1,24,0,0,0,no ventilation,835,22.8,74,7,18,29,0.3
2024-07-23 00:15:00,28.5,44.8,445,1.98,2.09,2.09,2.09,0,333,53.4,22,0,0,0,no ventilation,840,22.8,74,7,18,29,0.3
2024-07-23 00:20:00,28.5,44.8,445,2.04,2.15,2.15,2.15,0,323,54.6,23,0,0,0,no ventilation,845,22.8,74,7,18,29,0.3
2024-07-23 00:25:00,28.5,44.8,443,1.85,1.96,1.96,1.96,0,324,60.3,24,0,0,0,no ventilation,850,22.8,74,7,18,29,0.3
2024-07-23 00:30:00,28.5,44.7,440,1.85,1.95,1.95,1.95,0,323,59.1,22,0,0,0,no ventilation,855,22.5,75,7,18,29,0.3
2024-07-23 00:35:00,28.4,44.7,444,2.02,2.13,2.13,2.13,0,327,57.8,23,0,0,0,no ventilation,860,22.5,75,7,18,29,0.3
2024-07-23 00:40:00,28.4,44.7,441,2.05,2.17,2.17,2.17,0,334,59.8,21,0,0,0,no ventilation,865,22.5,75,7,18,29,0.3
2024-07-23 00:45:00,28.3,44.7,441,1.97,2.08,2.08,2.08,0,326,61.1,22,0,0,0,no ventilation,870,22.5,75,7,18,29,0.3
2024-07-23 00:50:00,28.3,45.1,438,2.34,2.48,2.48,2.48,0,329,61,22,0,0,0,no ventilation,875,22.5,75,7,18,29,0.3
